Date,Event
8/16/1969,Woostock rock festival begins
8/26/1920,"19th Amendment ratified, giving women the right to vote"
8/30/1967,Thurgood Marshall becomes the first black Supreme Court Justice
9/1/1939,WWII begins as Germany invades Poland
9/3/1888,George Eastman patents roll film and registers the Kodak name
9/4/1781,Villiage of Los Angeles was founded
9/5/1997,Mother Theresa dies in Calcutta at age 87
9/6/1966,Star Trek television program premieres
9/7/1533,England's Elizabeth I is born
9/8/1565,"St. Augustine, FL founded, first permanent European settlement in North America"
9/12/1953,Nikita Khrushcheb becomes Soviet Prime Minister
9/13/1788,New York City becomes the first U.S. capital
9/14/1814,Francis Scott Key writes the Star Spangled Banner
9/15/1890,Mystery writer Agatha Christie was born
9/18/1851,First issue of the New York Times is published
9/20/1932,Gandhi begins a hunger strike protesting treatment of India's untouchables
9/21/1981,Sandra Day O'Connor becomes the first female U.S. Supreme Court Justice
9/22/1789,The U.S. Postal Service is established
10/1/1908,"Henry Ford introduces the Model T car, selling for $825"
10/2/1944,"Nazis crush the Warsaw uprising, killing 250,000 people"
10/3/1974,The Watergate trial began
10/4/1957,The Soviet Sputnik satellite is the first to orbit the earth
10/14/1947,U.S. Air Force Capt. Chuch Yeager is first pilot to exceed the speed of sound
10/17/1933,Albert Einstein emigrates to U.S. from Germany
10/21/1879,Thomas Edison demonstrates his incandescent electric lamp
10/1/1918,"Great Influenza Epidemic begins, killing over 18 million"
10/25/1854,Charge of the Light Brigade during the Crimean War
10/26/1881,Wyatt Earp & Doc Holliday face the Clanton gang at the OK Corral
10/27/1938,"Dupont announces invention of Nylon, named for New York and London"
10/28/1886,The Statue of Liberty is dedicated
10/31/1517,"Martin Luther posts his 95 Theses, triggering the Protestant Reformation"
11/5/1895,George Selden receives the first U.S. patent for an automobile
11/6/1869,Rutgers and Princeton play the first intercollegiate football game
11/8/1731,Benjamin Franklin opens the first public library in Philadelphia
11/9/1906,Theodore Roosevelt is the first U.S. president to visit other countries (Puerto Rico and Panama)
11/10/1926,Hirohito becomes Emperor of Japan
11/11/1939,God Bless America is publicly sung for the first time by Kate Smith
11/12/1954,Ellis Island immigration station in NY Harbor is closed
11/16/1532,Inca Empire falls to Spaniard Pizarro
11/17/1868,"Suez Canal in Egypt opens, linking Mediterranean and Red Seas"
11/18/1928,Mickey Mouse makes his animated debut in Steamboat Willie
11/20/1945,"International War Crimes Tribunal begins trials in Neuremburg, Germany"
11/21/1620,The Mayflower Compact was signed
11/22/1962,President John F. Kennedy was assasinated
11/29/1929,Commander Richard E. Byrd flies over the South Pole
12/1/1880,The White House has its first telephone installed
12/2/1823,The Monroe Doctrine declares European powers must stay out of the Western Hemisphere
12/7/1787,Delaware is the first state to ratify the U.S. Constitution
12/8/1941,U.S. and Britain declare war on Japan
12/11/1620,103 pilgrims land at Plymouth Rock
12/12/1800,"Washington, D.C. is established as the U.S. capital"
1/1/1863,Abraham Lincoln signs the Emancipation Proclamation ending slavery
1/19/1793,French King Louis XVI sentenced to death
1/24/1848,Gold discovered at Sutter's Mill starts California Gold Rush
1/28/1986,Space Shuttle Chanlleger explodes killing all on board
1/29/1886,First successful gasoline driven car patented by Karl Benz in Germany
